Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
38,31633,species,Paramo Pipit,Anthus bogotensis,4,PN Antisana--pradera de los ibis y alrededores,EC-N,03 Mar 2025,L2761741,S216453632,,1
39,3496,species,Band-winged Nightjar,Systellura longirostris,4,Tambo Cóndor Bird Lodge,EC-P,02 Mar 2025,L3166153,S216371449,,1
40,8362,species,Black-chested Buzzard-Eagle,Geranoaetus melanoleucus,3,"Auto selected -0.46071, -78.32317",EC-P,02 Mar 2025,L40798376,S216350771,,1
41,27063,species,Grass Wren,Cistothorus platensis,10,"PN Antisana--Micacocha, control y alrededores",EC-N,02 Mar 2025,L635406,S216355923,,1
42,17035,species,Brown-backed Chat-Tyrant,Ochthoeca fumicolor,1,"PN Antisana--Micacocha, control y alrededores",EC-N,02 Mar 2025,L635406,S216355923,,1
43,15239,species,Many-striped Canastero,Asthenes flammulata,2,"PN Antisana--Micacocha, control y alrededores",EC-N,02 Mar 2025,L635406,S216355923,,1
44,14953,species,Stout-billed Cinclodes,Cinclodes excelsior,2,"PN Antisana--Micacocha, control y alrededores",EC-N,02 Mar 2025,L635406,S216355923,,1
45,6803,species,Silvery Grebe,Podiceps occipitalis,5,"PN Antisana--Micacocha, control y alrededores",EC-N,02 Mar 2025,L635406,S216355923,,1
46,5449,species,Slate-colored Coot,Fulica ardesiaca,12,"PN Antisana--Micacocha, control y alrededores",EC-N,02 Mar 2025,L635406,S216355923,,1
47,755,species,Andean Duck,Oxyura ferruginea,,"PN Antisana--Micacocha, control y alrededores",EC-N,02 Mar 2025,L635406,S216355923,,1
48,582,species,Yellow-billed Pintail,Anas georgica,,"PN Antisana--Micacocha, control y alrededores",EC-N,02 Mar 2025,L635406,S216355923,,1
49,8226,species,Cinereous Harrier,Circus cinereus,1,PN Antisana--Planicie de caballos,EC-P,02 Mar 2025,L33044049,S216307147,,1
50,7403,species,Andean Ibis,Theristicus branickii,2,PN Antisana--Planicie de caballos,EC-P,02 Mar 2025,L33044049,S216307147,,1
51,5841,species,Andean Lapwing,Vanellus resplendens,2,PN Antisana--Planicie de caballos,EC-P,02 Mar 2025,L33044049,S216307147,,1
52,2264,species,Black-winged Ground Dove,Metriopelia melanoptera,9,PN Antisana--Planicie de caballos,EC-P,02 Mar 2025,L33044049,S216307147,,1
53,35333,species,Plain-colored Seedeater,Catamenia inornata,5,Tambo Cóndor Bird Lodge,EC-P,02 Mar 2025,L3166153,S216307532,,1
54,32358,species,Hooded Siskin,Spinus magellanicus,10,Tambo Cóndor Bird Lodge,EC-P,02 Mar 2025,L3166153,S216307532,,1
55,7715,species,Andean Condor,Vultur gryphus,4,Tambo Cóndor Bird Lodge,EC-P,02 Mar 2025,L3166153,S216307532,,1
56,6405,species,Andean Gull,Chroicocephalus serranus,2,Tambo Cóndor Bird Lodge,EC-P,02 Mar 2025,L3166153,S216307532,,1
57,4447,species,Black-tailed Trainbearer,Lesbia victoriae,1,Tambo Cóndor Bird Lodge,EC-P,02 Mar 2025,L3166153,S216307532,,1
58,602,species,Andean Teal,Anas andium,6,Tambo Cóndor Bird Lodge,EC-P,02 Mar 2025,L3166153,S216307532,,1
59,4613,species,Great Sapphirewing,Pterophanes cyanopterus,1,Tambo Cóndor Bird Lodge,EC-P,01 Mar 2025,L3166153,S216307959,,1
60,4549,species,Shining Sunbeam,Aglaeactis cupripennis,6,Tambo Cóndor Bird Lodge,EC-P,01 Mar 2025,L3166153,S216307959,,1
61,4299,species,Sparkling Violetear,Colibri coruscans,10,Tambo Cóndor Bird Lodge,EC-P,01 Mar 2025,L3166153,S216307959,,1
62,11858,species,Carunculated Caracara,Daptrius carunculatus,1,"Auto selected -0.44569, -78.33759",EC-P,01 Mar 2025,L40789017,S216307847,,1
63,34978,species,Cinereous Conebill,Conirostrum cinereum,3,"Auto selected -0.40769, -78.52874",EC-P,01 Mar 2025,L40789000,S216307782,,1
64,34592,species,Scarlet-bellied Mountain Tanager,Anisognathus igniventris,5,"Auto selected -0.40769, -78.52874",EC-P,01 Mar 2025,L40789000,S216307782,,1
65,31706,species,Golden-rumped Euphonia,Chlorophonia cyanocephala,1,"Auto selected -0.40769, -78.52874",EC-P,01 Mar 2025,L40789000,S216307782,,1
66,16981,species,Streak-throated Bush-Tyrant,Myiotheretes striaticollis,1,"Auto selected -0.40769, -78.52874",EC-P,01 Mar 2025,L40789000,S216307782,,1
67,16627,species,Tawny-rumped Tyrannulet,Tyranniscus uropygialis,1,"Auto selected -0.40769, -78.52874",EC-P,01 Mar 2025,L40789000,S216307782,,1
68,7748,species,White-tailed Kite,Elanus leucurus,1,"Auto selected -1.49883, -78.72835",EC-H,01 Mar 2025,L40740540,S216070146,,1
69,16937,species,Plain-capped Ground-Tyrant,Muscisaxicola alpinus,1,"Camino al Refugio, Riobamba EC-Chimborazo -1.49652, -78.86481",EC-H,01 Mar 2025,L40740468,S216069833,,1
70,4663,species,Giant Hummingbird,Patagona gigas,1,"Camino al Refugio, Riobamba EC-Chimborazo -1.49652, -78.86481",EC-H,01 Mar 2025,L40740468,S216069833,,1
71,4432,species,Ecuadorian Hillstar,Oreotrochilus chimborazo,3,"Camino al Refugio, Riobamba EC-Chimborazo -1.49652, -78.86481",EC-H,01 Mar 2025,L40740468,S216069833,,1
72,34994,species,Black Flowerpiercer,Diglossa humeralis,3,Hacienda El Mollón,EC-A,28 Feb 2025,L40714910,S215941909,,1
73,34622,species,Golden-crowned Tanager,Iridosornis rufivertex,10,Hacienda El Mollón,EC-A,28 Feb 2025,L40714910,S215941909,,1
74,34426,species,Rufous-chested Tanager,Thlypopsis ornata,3,Hacienda El Mollón,EC-A,28 Feb 2025,L40714910,S215941909,,1
75,34416,species,Superciliaried Hemispingus,Thlypopsis superciliaris,10,Hacienda El Mollón,EC-A,28 Feb 2025,L40714910,S215941909,,1
76,34096,species,Spectacled Redstart,Myioborus melanocephalus,8,Hacienda El Mollón,EC-A,28 Feb 2025,L40714910,S215941909,,1
77,34017,species,Black-crested Warbler,Myiothlypis nigrocristata,1,Hacienda El Mollón,EC-A,28 Feb 2025,L40714910,S215941909,,1
78,33376,species,Mountain Cacique,Cacicus chrysonotus,7,Hacienda El Mollón,EC-A,28 Feb 2025,L40714910,S215941909,,1
79,33205,species,Yellow-breasted Brushfinch,Atlapetes latinuchus,8,Hacienda El Mollón,EC-A,28 Feb 2025,L40714910,S215941909,,1
80,16544,species,White-crested Elaenia,Elaenia albiceps,1,Hacienda El Mollón,EC-A,28 Feb 2025,L40714910,S215941909,,1
81,15730,species,Red-crested Cotinga,Ampelion rubrocristatus,1,Hacienda El Mollón,EC-A,28 Feb 2025,L40714910,S215941909,,1
82,15213,species,White-browed Spinetail,Hellmayrea gularis,1,Hacienda El Mollón,EC-A,28 Feb 2025,L40714910,S215941909,,1
83,4584,species,Rainbow Starfrontlet,Coeligena iris,1,Hacienda El Mollón,EC-A,28 Feb 2025,L40714910,S215941909,,1
84,4487,species,Tyrian Metaltail,Metallura tyrianthina,2,Hacienda El Mollón,EC-A,28 Feb 2025,L40714910,S215941909,,1
85,4363,species,Purple-throated Sunangel,Heliangelus viola,8,Hacienda El Mollón,EC-A,28 Feb 2025,L40714910,S215941909,,1
86,34371,species,White-capped Tanager,Sericossypha albocristata,3,"Via Cerro Bosco, Morona EC-Morona Santiago -3.00138, -78.51323",EC-S,27 Feb 2025,L40713203,S215933548,,1
87,23905,species,Brown-bellied Swallow,Orochelidon murina,6,"Via Cerro Bosco, Morona EC-Morona Santiago -3.00138, -78.51323",EC-S,27 Feb 2025,L40713203,S215933548,,1
88,7933,species,Black-and-chestnut Eagle,Spizaetus isidori,1,"Via Cerro Bosco, Morona EC-Morona Santiago -3.00138, -78.51323",EC-S,27 Feb 2025,L40713203,S215933548,,1
89,7538,species,Capped Heron,Pilherodius pileatus,2,"Auto selected -2.88423, -77.71065",EC-S,27 Feb 2025,L40564805,S215933434,,1
90,33363,species,Solitary Black Cacique,Cacicus solitarius,1,Chez Victor (shaman),EC-S,26 Feb 2025,L40711905,S215927267,,1
91,23727,species,Black-capped Donacobius,Donacobius atricapilla,4,Chez Victor (shaman),EC-S,26 Feb 2025,L40711905,S215927267,,1
92,17322,species,Fork-tailed Flycatcher,Tyrannus savana,1,Chez Victor (shaman),EC-S,26 Feb 2025,L40711905,S215927267,,1
93,17302,species,Eastern Kingbird,Tyrannus tyrannus,5,Chez Victor (shaman),EC-S,26 Feb 2025,L40711905,S215927267,,1
94,15761,species,Plum-throated Cotinga,Cotinga maynana,1,Chez Victor (shaman),EC-S,26 Feb 2025,L40711905,S215927267,,1
95,13339,species,Great Antshrike,Taraba major,1,Chez Victor (shaman),EC-S,26 Feb 2025,L40711905,S215927267,,1
96,10678,species,Scarlet-crowned Barbet,Capito aurovirens,1,Chez Victor (shaman),EC-S,26 Feb 2025,L40711905,S215927267,,1
97,3841,species,Pale-rumped Swift,Chaetura egregia,5,Bufeo spot,EC-S,26 Feb 2025,L40712908,S215932038,,1
98,34528,species,Masked Crimson Tanager,Ramphocelus nigrogularis,4,"Auto selected -2.88423, -77.71065",EC-S,26 Feb 2025,L40564805,S215914774,,1
99,8783,species,Tawny-bellied Screech-Owl,Megascops watsonii,1,La Loma,EC-S,25 Feb 2025,L40580643,S215514772,,1
100,16913,species,Drab Water Tyrant,Ochthornis littoralis,1,La Loma,EC-S,25 Feb 2025,L40580643,S215444241,,1
101,6819,species,Hoatzin,Opisthocomus hoazin,2,La Loma,EC-S,25 Feb 2025,L40580643,S215444241,,1
102,8293,species,Plumbeous Kite,Ictinia plumbea,1,La Loma,EC-S,25 Feb 2025,L40580643,S215381420,,1
103,7731,species,Greater Yellow-headed Vulture,Cathartes melambrotus,1,La Loma,EC-S,25 Feb 2025,L40580643,S215381420,,1
104,16346,species,Olive-faced Flatbill,Tolmomyias viridiceps,1,La Loma,EC-S,25 Feb 2025,L40580643,S215381250,,1
105,15994,species,Cinnamon Manakin-Tyrant,Neopipo cinnamomea,1,La Loma,EC-S,25 Feb 2025,L40580643,S215381250,,1
106,14681,species,Buff-throated Woodcreeper,Xiphorhynchus guttatus,4,La Loma,EC-S,25 Feb 2025,L40580643,S215381250,,1
107,14548,species,Cinnamon-throated Woodcreeper,Dendrexetastes rufigula,1,La Loma,EC-S,25 Feb 2025,L40580643,S215381250,,1
108,13590,species,Pygmy Antwren,Myrmotherula brachyura,1,La Loma,EC-S,25 Feb 2025,L40580643,S215381250,,1
109,13555,species,Spot-winged Antshrike,Pygiptila stellaris,2,La Loma,EC-S,25 Feb 2025,L40580643,S215381250,,1
110,11704,species,Chestnut Woodpecker,Celeus elegans,2,La Loma,EC-S,25 Feb 2025,L40580643,S215381250,,1
111,11443,species,Crimson-crested Woodpecker,Campephilus melanoleucos,1,La Loma,EC-S,25 Feb 2025,L40580643,S215381250,,1
112,10793,species,Many-banded Aracari,Pteroglossus pluricinctus,5,La Loma,EC-S,25 Feb 2025,L40580643,S215381250,,1
113,10693,species,Gilded Barbet,Capito auratus,2,La Loma,EC-S,25 Feb 2025,L40580643,S215381250,,1
114,9444,species,Amazonian Trogon,Trogon ramonianus,2,La Loma,EC-S,25 Feb 2025,L40580643,S215381250,,1
116,2321,species,Gray-fronted Dove,Leptotila rufaxilla,1,La Loma,EC-S,25 Feb 2025,L40580643,S215381250,,1
117,8714,species,Tropical Screech-Owl,Megascops choliba,1,La Loma,EC-S,24 Feb 2025,L40580643,S215381471,,1
118,31740,species,Golden-bellied Euphonia,Euphonia chrysopasta,1,La Loma,EC-S,24 Feb 2025,L40580643,S215381530,,1
119,13012,species,Red-bellied Macaw,Orthopsittaca manilatus,5,La Loma,EC-S,24 Feb 2025,L40580643,S215381530,,1
120,11369,species,Little Woodpecker,Dryobates passerinus,1,La Loma,EC-S,24 Feb 2025,L40580643,S215381530,,1
121,10356,species,White-fronted Nunbird,Monasa morphoeus,1,La Loma,EC-S,24 Feb 2025,L40580643,S215381530,,1
122,2983,species,Greater Ani,Crotophaga major,6,La Loma,EC-S,24 Feb 2025,L40580643,S215381530,,1
124,9425,species,Black-tailed Trogon,Trogon melanurus,1,La Loma,EC-S,24 Feb 2025,L40580643,S215271729,,1
125,32678,species,Yellow-browed Sparrow,Ammodramus aurifrons,1,La Loma,EC-S,24 Feb 2025,L40580643,S215248318,,1
126,17271,species,Piratic Flycatcher,Legatus leucophaius,1,La Loma,EC-S,24 Feb 2025,L40580643,S215248318,,1
127,16757,species,Eastern Wood-Pewee,Contopus virens,1,La Loma,EC-S,24 Feb 2025,L40580643,S215248318,,1
128,16148,species,Double-banded Pygmy-Tyrant,Lophotriccus vitiosus,1,La Loma,EC-S,24 Feb 2025,L40580643,S215248318,,1
129,13016,species,Blue-and-yellow Macaw,Ara ararauna,2,La Loma,EC-S,24 Feb 2025,L40580643,S215248318,,1
130,13003,species,Dusky-headed Parakeet,Aratinga weddellii,6,La Loma,EC-S,24 Feb 2025,L40580643,S215248318,,1
131,12852,species,Orange-winged Amazon,Amazona amazonica,6,La Loma,EC-S,24 Feb 2025,L40580643,S215248318,,1
132,12721,species,Cobalt-winged Parakeet,Brotogeris cyanoptera,12,La Loma,EC-S,24 Feb 2025,L40580643,S215248318,,1
133,11694,species,Cream-colored Woodpecker,Celeus flavus,1,La Loma,EC-S,24 Feb 2025,L40580643,S215248318,,1
134,11046,species,Yellow-tufted Woodpecker,Melanerpes cruentatus,1,La Loma,EC-S,24 Feb 2025,L40580643,S215248318,,1
135,10807,species,Golden-collared Toucanet,Selenidera reinwardtii,2,La Loma,EC-S,24 Feb 2025,L40580643,S215248318,,1
136,10790,species,Chestnut-eared Aracari,Pteroglossus castanotis,1,La Loma,EC-S,24 Feb 2025,L40580643,S215248318,,1
137,23836,species,White-winged Swallow,Tachycineta albiventer,1,"E40, Morona EC-Morona Santiago -2.92488, -77.72489",EC-S,23 Feb 2025,L40564827,S215146759,,1
138,8295,species,Crane Hawk,Geranospiza caerulescens,1,"E40, Morona EC-Morona Santiago -2.92488, -77.72489",EC-S,23 Feb 2025,L40564827,S215146759,,1
139,3428,species,Sand-colored Nighthawk,Chordeiles rupestris,255,"E40, Morona EC-Morona Santiago -2.92488, -77.72489",EC-S,23 Feb 2025,L40564827,S215146759,,1
140,34881,species,Purple Honeycreeper,Cyanerpes caeruleus,3,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
141,34823,species,Green-and-gold Tanager,Tangara schrankii,4,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
142,34687,species,Spotted Tanager,Ixothraupis punctata,1,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
143,34684,species,Yellow-bellied Tanager,Ixothraupis xanthogastra,1,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
144,27353,species,White-breasted Wood-Wren,Henicorhina leucosticta,1,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
145,16703,species,Euler's Flycatcher,Lathrotriccus euleri,1,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
146,16294,species,Western Olivaceous Flatbill,Rhynchocyclus aequinoctialis,1,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
147,16115,species,Ecuadorian Tyrannulet,Phylloscartes gualaquizae,1,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
148,15984,species,Wing-barred Piprites,Piprites chloris,1,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
149,14806,species,Duida Woodcreeper,Lepidocolaptes duidae,2,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
150,14639,species,Striped Woodcreeper,Xiphorhynchus obsoletus,1,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
151,14512,species,Plain-brown Woodcreeper,Dendrocincla fuliginosa,1,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
152,13900,species,Zimmer's Antbird,Sciaphylax castanea,2,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
153,13750,species,Peruvian Warbling-Antbird,Hypocnemis peruviana,1,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
154,13579,species,Ornate Stipplethroat,Epinecrophylla ornata,2,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
155,13415,species,Plain-winged Antshrike,Thamnophilus schistaceus,1,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
156,10918,species,Lafresnaye's Piculet,Picumnus lafresnayi,1,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
157,9476,species,Collared Trogon,Trogon collaris,3,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
158,9448,species,Blue-crowned Trogon,Trogon curucui,1,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
159,5090,species,Golden-tailed Sapphire,Chrysuronia oenone,1,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
160,4378,species,Wire-crested Thorntail,Discosura popelairii,1,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
162,78,species,Little Tinamou,Crypturellus soui,1,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
163,76,species,Cinereous Tinamou,Crypturellus cinereus,1,"Auto selected -2.39830, -78.07252",EC-S,23 Feb 2025,L40567033,S215157567,,1
164,11854,species,Black Caracara,Daptrius ater,1,"Auto selected -2.25770, -78.07279",EC-S,22 Feb 2025,L40521093,S214940462,,1
165,7581,species,Striated Heron,Butorides striata,1,"Auto selected -1.55720, -77.89131",EC-Y,22 Feb 2025,L40521100,S214940489,,1
166,35524,species,Bluish-gray Saltator,Saltator coerulescens,1,"Via Archidona, Archidona EC-Napo -0.84624, -77.79405",EC-N,22 Feb 2025,L40476225,S214809805,,1
167,35350,species,Red-crested Finch,Coryphospingus cucullatus,1,"Via Archidona, Archidona EC-Napo -0.84624, -77.79405",EC-N,22 Feb 2025,L40476225,S214809805,,1
168,35295,species,Black-and-white Seedeater,Sporophila luctuosa,3,"Via Archidona, Archidona EC-Napo -0.84624, -77.79405",EC-N,22 Feb 2025,L40476225,S214809805,,1
169,35282,species,Wing-barred Seedeater,Sporophila americana,1,"Via Archidona, Archidona EC-Napo -0.84624, -77.79405",EC-N,22 Feb 2025,L40476225,S214809805,,1
170,34953,species,Chestnut-vented Conebill,Conirostrum speciosum,2,"Via Archidona, Archidona EC-Napo -0.84624, -77.79405",EC-N,22 Feb 2025,L40476225,S214809805,,1
171,34519,species,Silver-beaked Tanager,Ramphocelus carbo,3,"Via Archidona, Archidona EC-Napo -0.84624, -77.79405",EC-N,22 Feb 2025,L40476225,S214809805,,1
172,33853,species,Blackpoll Warbler,Setophaga striata,1,"Via Archidona, Archidona EC-Napo -0.84624, -77.79405",EC-N,22 Feb 2025,L40476225,S214809805,,1
173,28373,species,Black-billed Thrush,Turdus ignobilis,1,"Via Archidona, Archidona EC-Napo -0.84624, -77.79405",EC-N,22 Feb 2025,L40476225,S214809805,,1
174,23897,species,White-banded Swallow,Atticora fasciata,2,"Via Archidona, Archidona EC-Napo -0.84624, -77.79405",EC-N,22 Feb 2025,L40476225,S214809805,,1
175,19085,species,Yellow-green Vireo,Vireo flavoviridis,1,"Via Archidona, Archidona EC-Napo -0.84624, -77.79405",EC-N,22 Feb 2025,L40476225,S214809805,,1
176,16485,species,Yellow-crowned Tyrannulet,Tyrannulus elatus,1,"Via Archidona, Archidona EC-Napo -0.84624, -77.79405",EC-N,22 Feb 2025,L40476225,S214809805,,1
