Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
42,914,species,Sickle-winged Guan,Chamaepetes goudotii,1,Finca La Conchita,CO-VAC,27 Oct 2024,L7021716,S201027815,,1
43,846,species,Colombian Chachalaca,Ortalis columbiana,2,Finca La Conchita,CO-VAC,27 Oct 2024,L7021716,S201027815,,1
44,34760,species,Metallic-green Tanager,Tangara labradorides,1,Bosque de San Antonio (Cerro de la Horqueta),CO-VAC,27 Oct 2024,L465406,S201025190,,1
45,28373,species,Black-billed Thrush,Turdus ignobilis,1,Bosque de San Antonio (Cerro de la Horqueta),CO-VAC,27 Oct 2024,L465406,S201025190,,1
46,16639,species,Golden-faced Tyrannulet,Zimmerius chrysops,1,Bosque de San Antonio (Cerro de la Horqueta),CO-VAC,27 Oct 2024,L465406,S201025190,,1
47,9778,species,Andean Motmot,Momotus aequatorialis,1,Bosque de San Antonio (Cerro de la Horqueta),CO-VAC,27 Oct 2024,L465406,S201025190,,1
48,13018,species,Chestnut-fronted Macaw,Ara severus,10,"Carrera 1, Cali CO-Valle del Cauca (3.4512,-76.5372)",CO-VAC,23 Oct 2024,L37561589,S200061869,,1
49,33468,species,Yellow Oriole,Icterus nigrogularis,1,Centro de Eventos Valle del Pacifico,CO-VAC,23 Oct 2024,L37561572,S200061809,,1
50,11975,species,Aplomado Falcon,Falco femoralis,1,Centro de Eventos Valle del Pacifico,CO-VAC,22 Oct 2024,L37561572,S200061894,,1
51,7399,species,Buff-necked Ibis,Theristicus caudatus,2,Aeropuerto Internacional Alfonso Bonilla Aragón,CO-VAC,22 Oct 2024,L5587970,S200061938,,1
52,21297,species,House Crow,Corvus splendens,2,Cape Town--Road Lodge at Airport,ZA-WC,08 Aug 2024,L20612264,S190629332,N,1
53,22235,species,Karoo Lark,Calendulauda albescens,8,R355--R356 turnoff to Eierkop,ZA-WC,07 Aug 2024,L2609438,S190585440,,1
54,22138,species,Cape Long-billed Lark,Certhilauda curvirostris,2,De Hoop Nature Reserve,ZA-WC,06 Aug 2024,L941566,S190579368,,1
55,10870,species,Lesser Honeyguide,Indicator minor,2,De Hoop Nature Reserve--Lakeside Walking Trail,ZA-WC,06 Aug 2024,L4150022,S190410295,,1
56,11617,species,Knysna Woodpecker,Campethera notata,1,De Hoop Nature Reserve--Campground,ZA-WC,05 Aug 2024,L4150023,S190467156,,1
58,2886,species,Denham's Bustard,Neotis denhami,1,"Auto selected -34.42224, 20.22917",ZA-WC,05 Aug 2024,L35524773,S190409908,,1
59,23272,species,Piping Cisticola,Cisticola fulvicapilla,4,Rooi-Els,ZA-WC,04 Aug 2024,L930832,S190227989,,1
60,22672,species,Cape Grassbird,Sphenoeacus afer,10,"34 Jan Smuts Drive, Simon's Town ZA-WC (-34.2001,18.4485)",ZA-WC,03 Aug 2024,L35438798,S190066500,,1
61,6894,species,Northern Royal Albatross,Diomedea sanfordi,1,"ZA (-34,358, 18,501)",ZA-WC,03 Aug 2024,L35437334,S190630158,,1
62,11618,species,Golden-tailed Woodpecker,Campethera abingoni,2,St. Lucia--Sunset Jetty,ZA-NL,01 Aug 2024,L9932685,S189822338,,1
63,30779,species,Black-and-white Mannikin,Spermestes bicolor,5,Monzi--Stay Lodge,ZA-NL,01 Aug 2024,L23137737,S189822105,,1
64,23243,species,Rufous-winged Cisticola,Cisticola galactotes,1,St Lucia--iGwalagwala Trail,ZA-NL,01 Aug 2024,L2903807,S189821911,,1
65,2972,species,Livingstone's Turaco,Tauraco livingstonii,3,St Lucia--iGwalagwala Trail,ZA-NL,01 Aug 2024,L2903807,S189821911,,1
66,30954,species,Green-backed Twinspot,Mandingoa nitidula,10,St Lucia--iMfolozi River mouth,ZA-NL,01 Aug 2024,L4209873,S189802510,,1
68,9994,species,Mangrove Kingfisher,Halcyon senegaloides,1,St Lucia--iMfolozi River mouth,ZA-NL,01 Aug 2024,L4209873,S189802510,,1
69,5606,species,African Finfoot,Podica senegalensis,1,St Lucia--iMfolozi River mouth,ZA-NL,01 Aug 2024,L4209873,S189802510,,1
70,7939,species,Long-crested Eagle,Lophaetus occipitalis,1,iSimangaliso WP--Eastern Shores,ZA-NL,31 Jul 2024,L2397400,S189702368,,1
71,7707,species,Pink-backed Pelican,Pelecanus rufescens,4,iSimangaliso WP--Eastern Shores,ZA-NL,31 Jul 2024,L2397400,S189702368,,1
72,3648,species,Swamp Nightjar,Caprimulgus natalensis,1,iSimangaliso WP--Eastern Shores,ZA-NL,31 Jul 2024,L2397400,S189702368,,1
73,29963,species,Olive Sunbird,Cyanomitra olivacea,1,St Lucia--iMfolozi River mouth,ZA-NL,31 Jul 2024,L4209873,S189699956,,1
74,19952,species,Olive Bushshrike,Chlorophoneus olivaceus,1,St Lucia--iGwalagwala Trail,ZA-NL,31 Jul 2024,L2903807,S189697626,,1
75,19621,species,Black-throated Wattle-eye,Platysteira peltata,1,St Lucia--iGwalagwala Trail,ZA-NL,31 Jul 2024,L2903807,S189697626,,1
76,30523,species,African Golden-Weaver,Ploceus subaureus,5,Monzi--Stay Lodge,ZA-NL,31 Jul 2024,L23137737,S189696533,,1
77,10461,species,White-eared Barbet,Stactolaema leucotis,3,Monzi--Stay Lodge,ZA-NL,31 Jul 2024,L23137737,S189696533,,1
